"";"ENQUÊTE.2017";"ENQUÊTE.2018";"ENQUÊTE.2019";"ENQUÊTE.2020";"LABELLISÉS.ECOCERT.EN.CUISINE";"ADRESSE";"CODE.POSTAL";"COMMUNE";"REGION";"TYPE.ETABLISSEMENT.(Cuisine.centrale.d'une.collectivité,.écoles,.collèges,.lycées,.Ehpad,.etc.)";"COLLECTIVITÉ.TERRITORIALE.(Oui/Non)";"TAILLE.COLLECTIVITÉS.(en.nombre.de.repas/jour)";"MODE.GESTION.RESTAURATION.COLLECTIVE.(Gestion.directe,.concédée,.mixte.ou.les.deux)";"MODE.PRODUCTION.RESTAURATION.COLLECTIVE.(Cuisine.centrale,.sur.place.ou.les.deux)";"NBR.ÉTABLISSEMENTS";"NBR.REPAS/JOUR";"lat";"long"
"SAINT PIERRE D'ENTREMONT SAVOIE";0;0;1;1;"Non";"place rené cassin";"73670";"saint pierre d'entremont savoie";"AUVERGNE-RHONE-ALPES";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"65";45,3907;5,8603
"CD NIEVRE";0;1;0;0;"Non";"rue de la Préfecture";"58039";"Nevers";"BOURGOGNE-FRANCHE-COMTE";"Collèges";"Oui";"NC";"DIR";"LES DEUX";"NC";"NC";46,9892;3,1609
"CD LOIRE ET CHER";0;1;0;0;"Non";"place de la République";"41020";"Blois ce dex";"CENTRE-VAL DE LOIRE";"Collèges";"Oui";"NC";"DIR";"SUR PLACE";"NC";"NC";47,8151;0,7552
"RE Sogeres Grand Moulin de Plantin";0;1;0;0;"Non";"9 rue du Debarcadere";"93500";"PANTIN";"ILE DE FRANCE";"Entreprises & administrations";"Non";"NC";"DEL";"SUR PLACE";"NC";"NC";48,8996;2,4106
"CR OCCITANIE";0;1;0;0;"Non";"avenue de la Pompignane";"34000";"Montpellier";"OCCITANIE";"Lycées";"Oui";"NC";"DIR";"LES DEUX";"NC";"NC";43,6183;3,8592
"Lycée Armand Peugeot ";0;1;0;0;"Non";"rue des carrieres";"25700";"Valentigney";"BOURGOGNE-FRANCHE-COMTE";"Lycées";"Non";"NC";"DIR";"LES DEUX";"NC";"NC";47,4591;6,8292
"CAGNES SUR MER";0;0;1;1;"Non";"3 place Gabriel Péri";"6800";"Cagnes sur Mer";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"SUR PLACE";"27";"3195";43,67;7,1533
"PAMIERS";0;0;1;0;"Non";"mairie de Pamiers    Place du Mercadal";"9100";"Pamiers";"OCCITANIE";"Cuisine centrale";"Oui";"NC";"DIR";"CENTRALE";"NC";"NC";43,1198;1,5933
"SAINT JEAN SUR VEYLE";0;0;1;0;"Non";"184 bis rue François Leguat";"1290";"Saint Jean sur Veyle";"AUVERGNE-RHONE-ALPES";"Ecoles";"Oui";"Moins de 500 repas/jour";"DEL";"SUR PLACE";"2";"75";46,2183;4,8448
"CC DE LA VEYLE";0;0;1;0;"Non";"le village";"1540";"Saint Julien sur Veyle";"AUVERGNE-RHONE-ALPES";"Ecoles";"Oui";"Moins de 500 repas/jour";"DEL";"SUR PLACE";"4";"220";46,2492;4,9691
"CD HAUTE GARONNE";0;0;1;1;"Non";"Boulevard de la Marquette";"31000";"TOULOUSE";"OCCITANIE";"Collèges";"Oui";"Plus de 10 000 repas/jour";"DIR";"SUR PLACE";"84";"175000";43,6089;1,4368
"Collège Jean Rostand";0;0;1;0;"Oui";"43 route d'Ales";"30900";"Nîmes";"OCCITANIE";"Collèges";"Non";"Entre 500 et 3000 repas/jour";"DIR";"SUR PLACE";"1";"550";43,8299;4,2771
"LE DEVOLUY";0;0;1;1;"Non";"Le Pré - St Etienne en Dévoluy";"5250";"LE DEVOLUY";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DEL";"SUR PLACE";"3";"89";44,6832;5,8891
"CD AUDE";0;0;1;0;"Non";"Allee Raymond Courriere";"11160";"Caunes Minervois";"OCCITANIE";"Collèges";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"SUR PLACE";"28";"7500";43,3803;2,4749
"CD DORDOGNE";0;0;1;1;"Oui";"2 rue Paul Louis Courier";"24019";"Périgueux";"NOUVELLE AQUITAINE";"Collèges";"Oui";"Plus de 10 000 repas/jour";"DIR";"SUR PLACE";"35";"11038";45,1593;1,1047
"CANEJAN";0;0;1;1;"Non";"Allée de la prade d'ombeille";"33610";"Canéjan";"NOUVELLE AQUITAINE";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DIR";"CENTRALE";"283";"304";44,7584;-0,6515
"CD HERAULT";0;0;1;1;"Oui";"19 AVENUE CHARLES DE GAULLE";"34690";"FABREGUES";"OCCITANIE";"Collèges";"Oui";"Plus de 10 000 repas/jour";"DIR";"LES DEUX";"75";"25000";43,5415;3,7777
"CD HAUTE LOIRE";0;0;1;0;"Non";"1 place Monseigneur de Galard";"43000";"LE PUY EN VELAY";"AUVERGNE-RHONE-ALPES";"Collèges";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"SUR PLACE";"64";"4650";45,0517;3,8849
"CD SARTHE";0;0;1;0;"Non";"avenue du maréchal LYAUTEY";"72000";"LE MANS";"PAYS-DE-LOIRE";"Collèges";"Oui";"Plus de 10 000 repas/jour";"DIR";"LES DEUX";"46";"17300";47,9908;0,2016
"CD SAVOIE";0;0;1;0;"Oui";"Château des Ducs de Savoie - cs 31802";"73018";"Chambéry cedex";"AUVERGNE-RHONE-ALPES";"Collèges";"Oui";"Plus de 10 000 repas/jour";"DIR";"LES DEUX";"38";"13000";45,5117;6,0705
"ANGERS";0;0;1;1;"Non";"49 rue des Claveries";"49124";"Saint-Barthélémy-D'Anjou";"PAYS-DE-LOIRE";"Cuisine centrale";"Oui";"Plus de 10 000 repas/jour";"MIX";"CENTRALE";"191";"16249";47,4941;-0,437
