"";"ENQUÊTE.2017";"ENQUÊTE.2018";"ENQUÊTE.2019";"ENQUÊTE.2020";"LABELLISÉS.ECOCERT.EN.CUISINE";"ADRESSE";"CODE.POSTAL";"COMMUNE";"REGION";"TYPE.ETABLISSEMENT.(Cuisine.centrale.d'une.collectivité,.écoles,.collèges,.lycées,.Ehpad,.etc.)";"COLLECTIVITÉ.TERRITORIALE.(Oui/Non)";"TAILLE.COLLECTIVITÉS.(en.nombre.de.repas/jour)";"MODE.GESTION.RESTAURATION.COLLECTIVE.(Gestion.directe,.concédée,.mixte.ou.les.deux)";"MODE.PRODUCTION.RESTAURATION.COLLECTIVE.(Cuisine.centrale,.sur.place.ou.les.deux)";"NBR.ÉTABLISSEMENTS";"NBR.REPAS/JOUR";"lat";"long"
"PAYS HAUT LANGUEDOC ET VIGNOBLES";0;1;0;0;"Non";"1 Rue de la voie ferrée";"34360";"Saint Chinian";"OCCITANIE";"Ecoles";"Oui";"NC";"NC";"NC";"NC";"NC";43,3963;2,8791
"QUETIGNY";0;1;0;0;"Non";"Mairie";"21800";"QUETIGNY";"BOURGOGNE-FRANCHE-COMTE";"Cuisine centrale";"Oui";"NC";"DEL";"CENTRALE";"NC";"NC";47,3186;5,1151
"Collège de Coutach";0;0;0;1;"Non";"296 AVENUE DU MARECHAL JUIN";"30260";"QUISSAC";"OCCITANIE";"Collèges";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"400";43,9193;3,9902
"BREST";0;0;0;1;"Non";"2, rue Frézier";"29200";"BREST";"BRETAGNE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DEL";"CENTRALE";"69";"5510";48,4059;-4,5058
"CAUNES MINERVOIS";0;0;0;1;"Non";"Place de la mairie";"11160";"CAUNES MINERVOIS";"OCCITANIE";"Ecoles";"Oui";"Moins de 500 repas/jour";"LES DEUX";"LES DEUX";"3";"180";43,3803;2,4749
"NOUGAROULET";0;0;0;1;"Oui";"0";"32270";"nougaroulet";"OCCITANIE";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"51";43,6884;0,719
"Centre de loisirs Ethic Etapes Le Cart";0;0;0;1;"Non";"31 rue emilien Dumas";"30250";"Sommières";"OCCITANIE";"Centre de vacances";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"150";43,8042;4,0349
"Lycée Gilbert Martin";0;0;0;1;"Non";"3 RUE PIERRE CORNEILLE";"27110";"LE NEUBOURG";"NORMANDIE";"Lycées";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"180";49,1156;1,0607
"Crèche Pom Flore et Alexandre";0;0;0;1;"Oui";"29 rue des Arts et métiers";"38000";"Grenoble";"AUVERGNE-RHONE-ALPES";"Crèches";"Non";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"1";"50";45,1825;5,7301
"REILLANNE";0;0;0;1;"Non";"0";"4110";"Reillanne";"PROVENCE-ALPES-COTE-D'AZUR";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"3";"142";43,8823;5,6562
"Crèches Croc La vie";0;0;0;1;"Non";"6  rue jacques messager";"59175";"Templemars";"HAUTS-DE-FRANCE";"Cuisine centrale";"Non";"Entre 500 et 3000 repas/jour";"DEL";"CENTRALE";"120";"2500";50,5705;3,0608
"SAINT-GERMAIN-LAPRADE";0;0;0;1;"Non";"0";"43700";"Saint Germain Laprade";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DIR";"CENTRALE";"14";"304";44,9935;3,9542
"BRUZ";0;0;0;1;"Non";"Place du Dr Joly";"35170";"Bruz";"BRETAGNE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"5";"1450";48,0242;-1,7465
"LOUVIERS - Régie Les 2 Airelles";0;0;0;1;"Non";"Ecoparc 1 8 allÈe des marronniers";"27400";"LOUVIERS";"NORMANDIE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"18";"1360";49,2261;1,1471
"LANGOGNE";0;0;0;1;"Non";"BD DES CAPUCINS";"48300 LANGOGNE";"COMMUNE DE LANGOGNE";"AUVERGNE-RHONE-ALPES";"Ecoles";"Oui";"Moins de 500 repas/jour";"DIR";"SUR PLACE";"2";"110";NA;NA
"FONTENAY-SOUS-BOIS";0;0;0;1;"Non";"44 bis rue La Fontaine";"94120";"Fontenay sous Bois";"ILE DE FRANCE";"Cuisine centrale";"Oui";"Entre 3000 et 10 000 repas/jour";"DIR";"LES DEUX";"37";"5270";48,8513;2,4739
"CA DE BAYEUX";0;0;0;1;"Non";"4 place Gauquelin Despalières";"14400";"BAYEUX";"NORMANDIE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"LES DEUX";"1";"1320";49,2765;-0,7018
"SAINT-LOUBES";0;0;0;1;"Non";"39 rue du Stade";"33450";"SAINT-LOUBES";"NOUVELLE AQUITAINE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"10";"1410";44,9182;-0,4322
"Adsea 05";0;0;0;1;"Non";"72 route des eyssagnieres";"5000";"Gap";"PROVENCE-ALPES-COTE-D'AZUR";"Cuisine centrale";"Non";"Moins de 500 repas/jour";"DIR";"CENTRALE";"14";"390";44,572;6,0628
"CC VAL DE DRÔME";0;0;0;1;"Non";"96 ronde des alisisers - Ecosite";"26400";"Eurre";"AUVERGNE-RHONE-ALPES";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"LES DEUX";"LES DEUX";"46";"1915";44,765;4,9763
"PERTUIS";0;0;0;1;"Non";"0";"84120";"Pertuis";"PROVENCE-ALPES-COTE-D'AZUR";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"CENTRALE";"9";"1380";43,6985;5,5193
"LÉVIGNAC";0;0;0;1;"Non";"1 place de la mairie";"31530";"Lévignac";"OCCITANIE";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"2";"210";43,6781;1,0968
"CD FINISTÈRE";0;0;0;1;"Non";"32, Boulevard Dupleix";"29000";"QUIMPER";"BRETAGNE";"Cuisine centrale";"Oui";"Plus de 10 000 repas/jour";"LES DEUX";"SUR PLACE";"53";"17887";47,9914;-4,0916
"PARAY-VIEILLE-POSTE";0;0;0;1;"Non";"Place henri Barbusse";"91550";"paray-vieille-poste";"ILE DE FRANCE";"Cuisine centrale";"Oui";"Entre 500 et 3000 repas/jour";"MIX";"CENTRALE";"12";"1144";48,7234;2,3569
"CC DU TRIÈVES";0;0;0;1;"Non";"0";"0";"Communauté de communes du Trièves";"AUVERGNE-RHONE-ALPES";"Ecoles";"Oui";"Moins de 500 repas/jour";"DEL";"CENTRALE";"6";"270";NA;NA
"MARCHIN";0;0;0;1;"Non";"rue du Parc, 5";"B 4570";"Vyle-et-Tharoul";"Belgique";"Cuisine centrale";"Oui";"Moins de 500 repas/jour";"DIR";"CENTRALE";"10";"150";NA;NA
"PLABENNEC";0;0;0;1;"Non";"avenue de Kerveguen";"29860 Plabennec";"Mairie de Plabennec";"BRETAGNE";"Ecoles";"Oui";"Entre 500 et 3000 repas/jour";"DIR";"SUR PLACE";"3";"505";NA;NA
